Product,Category
Bataty,🥦 Warzywa i Owoce
Banan,🥦 Warzywa i Owoce
Warzywa mieszane,🥦 Warzywa i Owoce
Awokado,🥦 Warzywa i Owoce
Pomidor,🥦 Warzywa i Owoce
Truskawki,🥦 Warzywa i Owoce
Owoce mieszane,🥦 Warzywa i Owoce
Rzodkiewka,🥦 Warzywa i Owoce
Szczypiorek,🥦 Warzywa i Owoce
Sałata,🥦 Warzywa i Owoce
Rukola,🥦 Warzywa i Owoce
Owoce jagodowe,🥦 Warzywa i Owoce
Papryka,🥦 Warzywa i Owoce
Kukurydza,🥦 Warzywa i Owoce
Salsa,🥦 Warzywa i Owoce
Ziemniaki,🥦 Warzywa i Owoce
Gnocchi,🥦 Warzywa i Owoce
Jajko,🥚 Nabiał i Jajka
Skyr naturalny,🥚 Nabiał i Jajka
Mozzarella light,🥚 Nabiał i Jajka
Mleko 2%,🥚 Nabiał i Jajka
Serek wiejski,🥚 Nabiał i Jajka
Masło,🥚 Nabiał i Jajka
Mąka pszenna,🌾 Spiżarnia / Suche
Czekolada gorzka (70%),🌾 Spiżarnia / Suche
Miód,🌾 Spiżarnia / Suche
Proszek do pieczenia,🌾 Spiżarnia / Suche
Pinsa pełnoziarnista,🌾 Spiżarnia / Suche
Jogurt naturalny,🥚 Nabiał i Jajka
Ser feta,🥚 Nabiał i Jajka
Twaróg chudy,🥚 Nabiał i Jajka
Parmezan,🥚 Nabiał i Jajka
Wołowina mielona chuda,🥩 Mięso
Szynka chuda,🥩 Mięso
Kurczak pierś,🥩 Mięso
Płatki owsiane,🌾 Spiżarnia / Suche
Chleb żytni razowy,🌾 Spiżarnia / Suche
Chleb pełnoziarnisty,🌾 Spiżarnia / Suche
Masło orzechowe,🌾 Spiżarnia / Suche
Oliwa z oliwek,🌾 Spiżarnia / Suche
Odżywka białkowa whey,🌾 Spiżarnia / Suche
Ciasto pełnoziarniste (domowe),🌾 Spiżarnia / Suche
Passata pomidorowa,🌾 Spiżarnia / Suche
Kakao,🌾 Spiżarnia / Suche
Pita,🌾 Spiżarnia / Suche
Makaron pełnoziarnisty,🌾 Spiżarnia / Suche
Sos sojowy,🌾 Spiżarnia / Suche
Olej sezamowy,🌾 Spiżarnia / Suche
Tortilla,🌾 Spiżarnia / Suche
Chleb tostowy,🌾 Spiżarnia / Suche
Bułka burger,🌾 Spiżarnia / Suche
Pesto,🌾 Spiżarnia / Suche
Syrop klonowy bez cukru,🌾 Spiżarnia / Suche
