Name,Kcal,B,T,W
Jajko,145,14,10,0
Płatki owsiane,389,16.9,6.9,66.3
Skyr naturalny,64,12,0,4
Banan,89,1.1,0.2,22.8
Masło orzechowe,609,26,49,16
Bataty,86,2,0,20
Wołowina mielona chuda,148,21,7,0
Mozzarella light,157,19,8.5,1
Oliwa z oliwek,884,0,100,0
Warzywa mieszane,25,2,0,3
Chleb żytni razowy,227,5.9,1.7,51.2
Chleb pełnoziarnisty,216,6,2,44
Awokado,160,2,14.6,8.5
Pomidor,19,0.9,0.2,4.1
Odżywka białkowa whey,372,79,4,6
Mleko 2%,50,3.3,2,4.8
Serek wiejski,97,12,5,3
Mąka pszenna,364,10,1,76
Czekolada gorzka (70%),503,10,39,34
Miód,324,0.3,0,81
Masło,717,0.9,81.1,0.1
Proszek do pieczenia,51,1.4,0.2,11
Pinsa pełnoziarnista,250,8,4,45
Ciasto pełnoziarniste (domowe),211,6.1,3.9,41.1
Szynka chuda,110,20,3,1
Passata pomidorowa,25,1,0,5
Kakao,300,25,15,50
Pita,260,9,3,50
Kurczak pierś,110,23,1,0
Jogurt naturalny,60,4,3,4
Ser feta,260,14,21,4
Twaróg chudy,90,18,0.5,4
Truskawki,32,1,0,8
Makaron pełnoziarnisty,350,12,2,70
Sos sojowy,50,8,0,5
Olej sezamowy,884,0,100,0
Tortilla,300,8,8,50
Parmezan,400,35,28,0
Chleb tostowy,260,8,4,48
Owoce mieszane,50,1,0,12
Rzodkiewka,16,1,0,3
Szczypiorek,30,3,0,5
Bułka burger,250,8,3,48
Ziemniaki,77,2,0,17
Sałata,15,1,0,3
Rukola,25,2,0,4
Owoce jagodowe,50,1,0,12
Gnocchi,150,4,1,30
Pesto,450,5,40,5
Papryka,30,1,0,6
Kukurydza,90,3,1,18
Salsa,40,1,0,8
Syrop klonowy bez cukru,20,0,0,5
